"X","Y","orig_ident","reads_per_cell","genes_per_cell","cluster_id","cluster_name","index","dat"
5900.63839648335,12731.8519279469,0,672,311,10,"PVALB","Dat1_Cell_00341",1
5902.99160974161,3918.40481140481,0,237,149,6,"eL6","Dat1_Cell_00342",1
5920.55237540076,2384.86843485864,0,359,157,8,"Oligo","Dat1_Cell_00344",1
5931.52269267633,4151.89755877544,0,467,256,7,"eL6","Dat1_Cell_00346",1
5908.84563172695,13015.6568408804,0,254,149,11,"Endo","Dat1_Cell_00347",1
5927.90078239188,13314.7758576219,0,207,123,8,"Endo","Dat1_Cell_00348",1
5939.08777008167,9106.80130259485,0,234,141,11,"eL4","Dat1_Cell_00349",1
5948.92301736083,12421.2791181025,0,524,270,8,"eL4","Dat1_Cell_00350",1
5957.67853332585,1881.78123420742,0,214,121,2,"Oligo","Dat1_Cell_00351",1
5978.45705305023,6539.78273141318,0,202,119,2,"Endo","Dat1_Cell_00352",1
5960.40295926211,9838.68210351012,0,301,168,11,"eL4","Dat1_Cell_00353",1
5983.08514198298,5328.04689740893,0,540,298,0,"eL6","Dat1_Cell_00355",1
5993.96855513985,9521.60137181543,0,511,275,4,"eL4","Dat1_Cell_00356",1
6012.12395566922,10570.0656436488,0,208,107,8,"eL4","Dat1_Cell_00357",1
6012.21023002421,9152.02336561743,0,459,228,2,"eL4","Dat1_Cell_00358",1
6007.41356311363,4392.74439703385,0,661,311,1,"eL6","Dat1_Cell_00360",1
6022.74129314384,6440.64992972044,0,207,97,8,"Astro","Dat1_Cell_00361",1
6020.33370399788,3872.38930368017,0,356,188,7,"Astro","Dat1_Cell_00362",1
6014.15534918675,6079.13081754254,0,258,146,9,"Astro","Dat1_Cell_00364",1
6023.19940579542,12809.4813442914,0,647,301,5,"eL2/3","Dat1_Cell_00365",1
6029.33479795704,7113.9061138651,0,828,396,2,"eL5","Dat1_Cell_00366",1
6027.72500573263,7785.56208438432,0,319,182,5,"eL5","Dat1_Cell_00368",1
6044.27000655356,11980.5716522246,0,740,361,10,"eL2/3","Dat1_Cell_00369",1
6051.71456088292,3170.02129210266,0,217,107,5,"Smc","Dat1_Cell_00370",1
6052.62700647705,5732.35745799305,0,418,204,11,"Astro","Dat1_Cell_00371",1
6048.53876387176,8451.52851418003,0,233,132,11,"PVALB","Dat1_Cell_00372",1
6059.20308796641,9829.18683551161,0,305,171,1,"eL4","Dat1_Cell_00373",1
6068.58717285302,10698.4446711116,0,275,141,8,"Endo","Dat1_Cell_00374",1
6074.95464244346,9315.33097604097,0,401,211,13,"eL4","Dat1_Cell_00376",1
6084.25073839662,1763.9676511955,0,661,318,14,"eL5","Dat1_Cell_00377",1
6101.98338348228,5311.22930794449,0,533,269,2,"Oligo","Dat1_Cell_00378",1
6090.6856465975,8212.82264520873,0,231,131,12,"PVALB","Dat1_Cell_00379",1
6094.49183993723,7421.35606120047,0,624,280,6,"VIP","Dat1_Cell_00380",1
6087.38808555505,7274.15126525079,0,893,406,5,"eL5","Dat1_Cell_00381",1
6104.57120655552,11061.551474051,0,414,199,13,"eL2/3","Dat1_Cell_00382",1
6105.28411844672,2130.31485312371,0,347,169,0,"Astro","Dat1_Cell_00383",1
6117.95101738809,4773.59570847207,0,227,133,11,"eL6","Dat1_Cell_00384",1
6131.12553593947,2391.3525220681,0,306,144,8,"Oligo","Dat1_Cell_00385",1
6141.99320576816,9104.25672490294,0,296,164,10,"eL4","Dat1_Cell_00386",1
6150.73618027888,13038.9482071713,0,659,289,1,"eL2/3","Dat1_Cell_00387",1
6164.42672388455,7884.24760449121,0,318,175,15,"eL5","Dat1_Cell_00388",1
6156.91051210384,9548.91610213653,0,384,200,0,"eL4","Dat1_Cell_00389",1
6157.23477862129,11595.6251592194,0,348,188,14,"eL6","Dat1_Cell_00390",1
