"","celltype"
"Dat2_Cell_00388","eL5"
"Dat2_Cell_00389","eL2/3"
"Dat2_Cell_00390","eL2/3"
"Dat2_Cell_00391","Oligo"
"Dat2_Cell_00392","eL6"
"Dat2_Cell_00393","Oligo"
"Dat2_Cell_00394","Astro"
"Dat2_Cell_00395","eL4"
"Dat2_Cell_00396","eL6"
"Dat2_Cell_00397","eL4"
"Dat2_Cell_00398","Astro"
"Dat2_Cell_00399","eL2/3"
"Dat2_Cell_00400","Oligo"
"Dat2_Cell_00401","eL6"
"Dat2_Cell_00402","Endo"
"Dat2_Cell_00403","Endo"
"Dat2_Cell_00404","eL2/3"
"Dat2_Cell_00405","eL6"
"Dat2_Cell_00406","VIP"
"Dat2_Cell_00407","eL4"
"Dat2_Cell_00408","Oligo"
"Dat2_Cell_00409","eL2/3"
"Dat2_Cell_00411","Astro"
"Dat2_Cell_00412","eL2/3"
"Dat2_Cell_00413","SST"
"Dat2_Cell_00414","eL6"
"Dat2_Cell_00415","eL4"
"Dat2_Cell_00416","eL5"
"Dat2_Cell_00418","eL2/3"
"Dat2_Cell_00419","eL2/3"
"Dat2_Cell_00420","eL2/3"
"Dat2_Cell_00421","eL6"
"Dat2_Cell_00423","eL5"
"Dat2_Cell_00424","eL5"
"Dat2_Cell_00425","Astro"
"Dat2_Cell_00426","Smc"
"Dat2_Cell_00429","Oligo"
"Dat2_Cell_00430","eL6"
"Dat2_Cell_00431","eL5"
"Dat2_Cell_00433","Oligo"
"Dat2_Cell_00434","Oligo"
"Dat2_Cell_00435","Oligo"
"Dat2_Cell_00436","eL4"
"Dat2_Cell_00437","PVALB"
"Dat2_Cell_00439","eL2/3"
"Dat2_Cell_00440","eL4"
"Dat2_Cell_00441","Smc"
"Dat2_Cell_00442","eL6"
"Dat2_Cell_00443","eL5"
"Dat2_Cell_00444","eL2/3"
"Dat2_Cell_00445","Astro"
"Dat2_Cell_00446","VIP"
"Dat2_Cell_00447","eL4"
"Dat2_Cell_00448","Oligo"
"Dat2_Cell_00449","eL4"
"Dat2_Cell_00450","eL2/3"
"Dat2_Cell_00452","eL6"
"Dat2_Cell_00453","Smc"
"Dat2_Cell_00454","VIP"
"Dat2_Cell_00455","Astro"
"Dat2_Cell_00456","Oligo"
"Dat2_Cell_00457","Astro"
"Dat2_Cell_00458","eL2/3"
"Dat2_Cell_00459","Astro"
"Dat2_Cell_00460","Astro"
"Dat2_Cell_00461","Oligo"
"Dat2_Cell_00462","eL6"
"Dat2_Cell_00463","eL5"
"Dat2_Cell_00464","Astro"
"Dat2_Cell_00465","Micro"
"Dat2_Cell_00466","eL2/3"
"Dat2_Cell_00467","eL6"
"Dat2_Cell_00468","eL2/3"
"Dat2_Cell_00470","Astro"
"Dat2_Cell_00471","Oligo"
"Dat2_Cell_00472","Oligo"
"Dat2_Cell_00473","eL6"
"Dat2_Cell_00474","eL6"
"Dat2_Cell_00475","eL2/3"
"Dat2_Cell_00476","eL4"
"Dat2_Cell_00477","eL4"
"Dat2_Cell_00478","eL2/3"
"Dat2_Cell_00479","Smc"
"Dat2_Cell_00481","eL6"
"Dat2_Cell_00482","PVALB"
"Dat2_Cell_00483","eL2/3"
"Dat2_Cell_00484","eL6"
"Dat2_Cell_00485","Smc"
"Dat2_Cell_00487","Oligo"
"Dat2_Cell_00488","eL6"
"Dat2_Cell_00489","eL6"
"Dat2_Cell_00490","eL4"
"Dat2_Cell_00491","eL2/3"
"Dat2_Cell_00492","Oligo"
"Dat2_Cell_00493","Astro"
"Dat2_Cell_00495","Oligo"
"Dat2_Cell_00496","eL4"
"Dat2_Cell_00497","eL4"
"Dat2_Cell_00498","Astro"
"Dat2_Cell_00501","Oligo"
"Dat2_Cell_00503","eL6"
"Dat2_Cell_00506","eL4"
"Dat2_Cell_00507","Endo"
"Dat2_Cell_00508","eL6"
"Dat2_Cell_00509","VIP"
"Dat2_Cell_00510","Oligo"
"Dat2_Cell_00511","PVALB"
"Dat2_Cell_00512","Astro"
"Dat2_Cell_00513","eL4"
"Dat2_Cell_00514","Smc"
"Dat2_Cell_00515","Astro"
"Dat2_Cell_00516","eL4"
"Dat2_Cell_00517","PVALB"
"Dat2_Cell_00519","Oligo"
"Dat2_Cell_00520","Astro"
"Dat2_Cell_00521","Smc"
"Dat2_Cell_00523","eL6"
"Dat2_Cell_00524","eL6"
"Dat2_Cell_00525","eL4"
"Dat2_Cell_00526","eL2/3"
"Dat2_Cell_00527","Astro"
"Dat2_Cell_00529","eL4"
"Dat2_Cell_00530","eL4"
"Dat2_Cell_00532","Oligo"
"Dat2_Cell_00533","Astro"
"Dat2_Cell_00534","VIP"
"Dat2_Cell_00535","eL2/3"
"Dat2_Cell_00536","eL5"
"Dat2_Cell_00537","eL4"
"Dat2_Cell_00538","eL4"
"Dat2_Cell_00539","eL2/3"
"Dat2_Cell_00540","Endo"
"Dat2_Cell_00541","Astro"
"Dat2_Cell_00542","eL5"
"Dat2_Cell_00544","eL5"
"Dat2_Cell_00545","eL2/3"
"Dat2_Cell_00546","eL4"
"Dat2_Cell_00547","Astro"
"Dat2_Cell_00549","eL4"
"Dat2_Cell_00550","eL4"
"Dat2_Cell_00551","Endo"
"Dat2_Cell_00552","eL6"
"Dat2_Cell_00553","Oligo"
"Dat2_Cell_00554","eL6"
"Dat2_Cell_00555","Astro"
"Dat2_Cell_00556","Oligo"
"Dat2_Cell_00557","Astro"
"Dat2_Cell_00558","eL4"
"Dat2_Cell_00560","eL6"
"Dat2_Cell_00561","eL2/3"
"Dat2_Cell_00562","eL4"
"Dat2_Cell_00563","Astro"
"Dat2_Cell_00565","Oligo"
"Dat2_Cell_00566","eL6"
"Dat2_Cell_00567","Oligo"
"Dat2_Cell_00568","eL2/3"
"Dat2_Cell_00569","eL2/3"
"Dat2_Cell_00571","eL5"
"Dat2_Cell_00572","eL4"
"Dat2_Cell_00573","Oligo"
"Dat2_Cell_00575","eL4"
"Dat2_Cell_00576","eL4"
"Dat2_Cell_00577","eL2/3"
"Dat2_Cell_00578","eL5"
"Dat2_Cell_00579","Astro"
"Dat2_Cell_00580","Astro"
"Dat2_Cell_00581","eL5"
"Dat2_Cell_00582","Astro"
"Dat2_Cell_00583","eL4"
"Dat2_Cell_00584","eL6"
"Dat2_Cell_00585","eL2/3"
"Dat2_Cell_00589","Astro"
"Dat2_Cell_00590","Astro"
"Dat2_Cell_00592","PVALB"
"Dat2_Cell_00593","eL4"
"Dat2_Cell_00594","Oligo"
"Dat2_Cell_00595","PVALB"
"Dat2_Cell_00596","Oligo"
"Dat2_Cell_00597","eL2/3"
"Dat2_Cell_00598","Oligo"
"Dat2_Cell_00599","eL4"
"Dat2_Cell_00602","Endo"
"Dat2_Cell_00604","eL6"
"Dat2_Cell_00605","eL4"
"Dat2_Cell_00606","eL4"
"Dat2_Cell_00607","eL4"
"Dat2_Cell_00608","PVALB"
"Dat2_Cell_00610","Smc"
"Dat2_Cell_00611","Oligo"
"Dat2_Cell_00613","eL6"
"Dat2_Cell_00614","eL6"
"Dat2_Cell_00615","eL4"
"Dat2_Cell_00616","eL2/3"
"Dat2_Cell_00617","Oligo"
"Dat2_Cell_00618","Astro"
"Dat2_Cell_00619","eL6"
"Dat2_Cell_00622","Endo"
"Dat2_Cell_00625","PVALB"
"Dat2_Cell_00626","Oligo"
"Dat2_Cell_00627","Oligo"
"Dat2_Cell_00628","eL4"
"Dat2_Cell_00629","eL2/3"
"Dat2_Cell_00631","Oligo"
"Dat2_Cell_00632","Oligo"
"Dat2_Cell_00633","eL4"
"Dat2_Cell_00634","PVALB"
"Dat2_Cell_00636","Oligo"
"Dat2_Cell_00637","eL5"
"Dat2_Cell_00639","eL4"
"Dat2_Cell_00640","eL6"
"Dat2_Cell_00641","Endo"
"Dat2_Cell_00642","Smc"
"Dat2_Cell_00643","Endo"
"Dat2_Cell_00644","Astro"
"Dat2_Cell_00645","eL4"
"Dat2_Cell_00646","eL4"
"Dat2_Cell_00647","Astro"
"Dat2_Cell_00648","Endo"
"Dat2_Cell_00649","eL2/3"
"Dat2_Cell_00650","Oligo"
"Dat2_Cell_00652","eL6"
"Dat2_Cell_00653","Endo"
"Dat2_Cell_00654","Oligo"
"Dat2_Cell_00655","Oligo"
"Dat2_Cell_00656","eL2/3"
"Dat2_Cell_00657","eL4"
"Dat2_Cell_00658","Oligo"
"Dat2_Cell_00659","eL2/3"
"Dat2_Cell_00660","eL2/3"
"Dat2_Cell_00662","eL5"
"Dat2_Cell_00663","VIP"
"Dat2_Cell_00664","Smc"
"Dat2_Cell_00667","Oligo"
"Dat2_Cell_00669","eL6"
"Dat2_Cell_00671","eL6"
"Dat2_Cell_00672","eL4"
"Dat2_Cell_00673","eL2/3"
"Dat2_Cell_00674","Oligo"
"Dat2_Cell_00675","Astro"
"Dat2_Cell_00676","eL5"
"Dat2_Cell_00677","eL4"
"Dat2_Cell_00678","eL6"
"Dat2_Cell_00679","eL6"
"Dat2_Cell_00680","PVALB"
"Dat2_Cell_00681","Astro"
"Dat2_Cell_00682","eL2/3"
"Dat2_Cell_00683","Oligo"
"Dat2_Cell_00684","Astro"
"Dat2_Cell_00685","PVALB"
"Dat2_Cell_00686","Oligo"
"Dat2_Cell_00687","PVALB"
"Dat2_Cell_00688","eL2/3"
"Dat2_Cell_00689","eL2/3"
"Dat2_Cell_00690","Astro"
"Dat2_Cell_00692","eL5"
"Dat2_Cell_00693","Smc"
"Dat2_Cell_00694","eL5"
"Dat2_Cell_00695","eL4"
"Dat2_Cell_00696","Smc"
"Dat2_Cell_00697","SST"
"Dat2_Cell_00698","eL2/3"
"Dat2_Cell_00702","eL6"
"Dat2_Cell_00703","Astro"
"Dat2_Cell_00704","eL5"
"Dat2_Cell_00705","Smc"
"Dat2_Cell_00706","eL4"
"Dat2_Cell_00707","Oligo"
"Dat2_Cell_00708","Oligo"
"Dat2_Cell_00709","Oligo"
"Dat2_Cell_00711","eL4"
"Dat2_Cell_00712","eL2/3"
"Dat2_Cell_00713","Astro"
"Dat2_Cell_00714","eL5"
"Dat2_Cell_00715","eL6"
"Dat2_Cell_00716","eL4"
"Dat2_Cell_00717","eL2/3"
"Dat2_Cell_00718","Astro"
"Dat2_Cell_00719","eL2/3"
"Dat2_Cell_00720","Micro"
"Dat2_Cell_00721","Oligo"
"Dat2_Cell_00722","Endo"
"Dat2_Cell_00724","eL6"
"Dat2_Cell_00725","eL2/3"
"Dat2_Cell_00726","Astro"
"Dat2_Cell_00728","eL6"
"Dat2_Cell_00729","eL6"
"Dat2_Cell_00730","eL6"
"Dat2_Cell_00732","eL6"
"Dat2_Cell_00733","Astro"
"Dat2_Cell_00734","Oligo"
"Dat2_Cell_00735","Astro"
"Dat2_Cell_00737","eL6"
"Dat2_Cell_00738","Smc"
"Dat2_Cell_00739","eL6"
"Dat2_Cell_00740","Endo"
"Dat2_Cell_00741","eL2/3"
"Dat2_Cell_00743","Astro"
"Dat2_Cell_00744","Oligo"
"Dat2_Cell_00745","Astro"
"Dat2_Cell_00746","eL4"
"Dat2_Cell_00747","eL2/3"
"Dat2_Cell_00748","eL2/3"
"Dat2_Cell_00749","eL6"
"Dat2_Cell_00750","SST"
"Dat2_Cell_00751","eL5"
"Dat2_Cell_00752","Micro"
"Dat2_Cell_00753","eL5"
"Dat2_Cell_00754","eL4"
"Dat2_Cell_00755","eL5"
"Dat2_Cell_00756","eL2/3"
"Dat2_Cell_00757","Endo"
"Dat2_Cell_00758","eL6"
"Dat2_Cell_00759","Micro"
"Dat2_Cell_00760","eL6"
"Dat2_Cell_00761","Oligo"
"Dat2_Cell_00762","eL4"
"Dat2_Cell_00763","eL6"
"Dat2_Cell_00764","eL6"
"Dat2_Cell_00765","Oligo"
"Dat2_Cell_00766","eL6"
"Dat2_Cell_00767","eL5"
"Dat2_Cell_00768","Endo"
"Dat2_Cell_00769","Smc"
"Dat2_Cell_00770","eL2/3"
"Dat2_Cell_00771","Smc"
"Dat2_Cell_00773","Oligo"
"Dat2_Cell_00774","eL2/3"
"Dat2_Cell_00776","eL6"
"Dat2_Cell_00777","eL4"
"Dat2_Cell_00778","Oligo"
"Dat2_Cell_00779","eL2/3"
"Dat2_Cell_00780","eL4"
"Dat2_Cell_00781","Oligo"
"Dat2_Cell_00782","Astro"
"Dat2_Cell_00783","eL4"
"Dat2_Cell_00784","Oligo"
"Dat2_Cell_00785","eL2/3"
"Dat2_Cell_00786","eL6"
"Dat2_Cell_00787","Astro"
"Dat2_Cell_00788","eL6"
"Dat2_Cell_00789","eL4"
"Dat2_Cell_00790","eL4"
"Dat2_Cell_00791","eL6"
"Dat2_Cell_00792","Astro"
"Dat2_Cell_00793","eL2/3"
"Dat2_Cell_00794","eL6"
"Dat2_Cell_00795","PVALB"
"Dat2_Cell_00796","Micro"
"Dat2_Cell_00797","eL2/3"
"Dat2_Cell_00799","eL4"
"Dat2_Cell_00802","eL2/3"
"Dat2_Cell_00805","Oligo"
"Dat2_Cell_00806","Oligo"
"Dat2_Cell_00807","eL6"
"Dat2_Cell_00808","eL2/3"
"Dat2_Cell_00809","eL4"
"Dat2_Cell_00810","Oligo"
"Dat2_Cell_00811","Astro"
"Dat2_Cell_00812","eL4"
"Dat2_Cell_00813","eL2/3"
"Dat2_Cell_00814","eL5"
"Dat2_Cell_00816","Astro"
"Dat2_Cell_00817","Astro"
"Dat2_Cell_00818","Oligo"
"Dat2_Cell_00819","Oligo"
"Dat2_Cell_00820","eL4"
"Dat2_Cell_00821","Micro"
"Dat2_Cell_00823","eL6"
"Dat2_Cell_00824","eL4"
"Dat2_Cell_00825","Astro"
"Dat2_Cell_00826","Oligo"
"Dat2_Cell_00827","Astro"
"Dat2_Cell_00828","Micro"
"Dat2_Cell_00829","Oligo"
"Dat2_Cell_00830","eL6"
"Dat2_Cell_00831","Astro"
"Dat2_Cell_00834","eL4"
"Dat2_Cell_00835","eL2/3"
"Dat2_Cell_00836","eL6"
"Dat2_Cell_00838","Micro"
"Dat2_Cell_00839","Oligo"
"Dat2_Cell_00840","eL6"
"Dat2_Cell_00841","eL4"
"Dat2_Cell_00842","PVALB"
"Dat2_Cell_00843","eL4"
"Dat2_Cell_00845","Oligo"
"Dat2_Cell_00846","Astro"
"Dat2_Cell_00847","Oligo"
"Dat2_Cell_00848","eL6"
"Dat2_Cell_00850","Oligo"
"Dat2_Cell_00851","eL4"
"Dat2_Cell_00852","eL2/3"
"Dat2_Cell_00853","eL2/3"
"Dat2_Cell_00854","eL2/3"
"Dat2_Cell_00855","eL5"
"Dat2_Cell_00856","Endo"
"Dat2_Cell_00858","Astro"
"Dat2_Cell_00859","eL6"
"Dat2_Cell_00861","Oligo"
"Dat2_Cell_00863","eL2/3"
"Dat2_Cell_00864","Endo"
"Dat2_Cell_00866","Endo"
"Dat2_Cell_00867","eL6"
"Dat2_Cell_00868","Oligo"
"Dat2_Cell_00869","SST"
"Dat2_Cell_00870","eL2/3"
"Dat2_Cell_00872","Micro"
"Dat2_Cell_00873","Smc"
"Dat2_Cell_00875","Oligo"
"Dat2_Cell_00876","Astro"
"Dat2_Cell_00877","eL6"
"Dat2_Cell_00878","eL4"
"Dat2_Cell_00879","VIP"
"Dat2_Cell_00880","eL6"
"Dat2_Cell_00881","eL4"
"Dat2_Cell_00882","Micro"
"Dat2_Cell_00885","eL2/3"
"Dat2_Cell_00886","Micro"
"Dat2_Cell_00887","Astro"
"Dat2_Cell_00889","Astro"
"Dat2_Cell_00890","eL5"
"Dat2_Cell_00891","Astro"
"Dat2_Cell_00892","eL5"
"Dat2_Cell_00893","eL2/3"
"Dat2_Cell_00894","Astro"
"Dat2_Cell_00895","eL4"
"Dat2_Cell_00896","eL2/3"
"Dat2_Cell_00898","eL6"
"Dat2_Cell_00899","Astro"
"Dat2_Cell_00901","eL6"
"Dat2_Cell_00902","Astro"
"Dat2_Cell_00903","eL6"
"Dat2_Cell_00904","SST"
"Dat2_Cell_00905","eL4"
"Dat2_Cell_00906","eL4"
"Dat2_Cell_00908","eL6"
"Dat2_Cell_00909","eL2/3"
"Dat2_Cell_00910","Astro"
"Dat2_Cell_00911","eL4"
"Dat2_Cell_00912","eL6"
"Dat2_Cell_00913","Endo"
"Dat2_Cell_00914","Astro"
"Dat2_Cell_00915","eL4"
"Dat2_Cell_00916","Astro"
"Dat2_Cell_00917","eL2/3"
"Dat2_Cell_00918","eL2/3"
"Dat2_Cell_00919","Oligo"
"Dat2_Cell_00920","eL6"
"Dat2_Cell_00921","Astro"
"Dat2_Cell_00924","Oligo"
"Dat2_Cell_00925","eL4"
"Dat2_Cell_00926","Oligo"
"Dat2_Cell_00927","eL6"
"Dat2_Cell_00928","Astro"
"Dat2_Cell_00930","Astro"
"Dat2_Cell_00931","eL4"
"Dat2_Cell_00932","eL2/3"
"Dat2_Cell_00933","Astro"
"Dat2_Cell_00934","Endo"
"Dat2_Cell_00935","eL6"
"Dat2_Cell_00936","eL6"
"Dat2_Cell_00939","eL2/3"
"Dat2_Cell_00940","eL4"
"Dat2_Cell_00942","Endo"
"Dat2_Cell_00944","eL4"
"Dat2_Cell_00945","SST"
"Dat2_Cell_00946","eL6"
"Dat2_Cell_00947","Micro"
"Dat2_Cell_00949","eL6"
"Dat2_Cell_00950","Oligo"
"Dat2_Cell_00951","eL4"
"Dat2_Cell_00952","eL2/3"
"Dat2_Cell_00953","eL2/3"
"Dat2_Cell_00954","Oligo"
"Dat2_Cell_00955","eL2/3"
"Dat2_Cell_00957","eL4"
"Dat2_Cell_00958","eL2/3"
"Dat2_Cell_00959","eL4"
"Dat2_Cell_00960","eL2/3"
"Dat2_Cell_00962","Endo"
"Dat2_Cell_00963","eL4"
"Dat2_Cell_00967","Oligo"
"Dat2_Cell_00968","eL6"
"Dat2_Cell_00969","eL6"
"Dat2_Cell_00970","PVALB"
"Dat2_Cell_00971","eL4"
