"","celltype"
"Dat1_Cell_00284","Endo"
"Dat1_Cell_00285","Oligo"
"Dat1_Cell_00287","eL2/3"
"Dat1_Cell_00288","Oligo"
"Dat1_Cell_00289","Astro"
"Dat1_Cell_00290","eL2/3"
"Dat1_Cell_00291","eL6"
"Dat1_Cell_00292","Astro"
"Dat1_Cell_00294","Endo"
"Dat1_Cell_00295","Oligo"
"Dat1_Cell_00296","Endo"
"Dat1_Cell_00298","SST"
"Dat1_Cell_00299","eL2/3"
"Dat1_Cell_00300","Endo"
"Dat1_Cell_00301","Oligo"
"Dat1_Cell_00302","eL4"
"Dat1_Cell_00305","eL6"
"Dat1_Cell_00306","eL2/3"
"Dat1_Cell_00307","Endo"
"Dat1_Cell_00308","Endo"
"Dat1_Cell_00309","eL2/3"
"Dat1_Cell_00310","eL6"
"Dat1_Cell_00311","Endo"
"Dat1_Cell_00312","Endo"
"Dat1_Cell_00314","eL6"
"Dat1_Cell_00315","VIP"
"Dat1_Cell_00316","Micro"
"Dat1_Cell_00317","Astro"
"Dat1_Cell_00318","Micro"
"Dat1_Cell_00319","Oligo"
"Dat1_Cell_00320","eL6"
"Dat1_Cell_00322","Endo"
"Dat1_Cell_00323","Astro"
"Dat1_Cell_00324","eL6"
"Dat1_Cell_00325","eL4"
"Dat1_Cell_00327","eL6"
"Dat1_Cell_00328","eL6"
"Dat1_Cell_00329","eL4"
"Dat1_Cell_00330","eL2/3"
"Dat1_Cell_00331","Endo"
"Dat1_Cell_00332","Oligo"
"Dat1_Cell_00333","Oligo"
"Dat1_Cell_00335","eL6"
"Dat1_Cell_00337","eL6"
"Dat1_Cell_00338","eL5"
"Dat1_Cell_00339","Astro"
"Dat1_Cell_00340","Micro"
"Dat1_Cell_00341","PVALB"
"Dat1_Cell_00342","eL6"
"Dat1_Cell_00344","Oligo"
"Dat1_Cell_00346","eL6"
"Dat1_Cell_00347","Endo"
"Dat1_Cell_00348","Endo"
"Dat1_Cell_00349","eL4"
"Dat1_Cell_00350","eL4"
"Dat1_Cell_00351","Oligo"
"Dat1_Cell_00352","Endo"
"Dat1_Cell_00353","eL4"
"Dat1_Cell_00355","eL6"
"Dat1_Cell_00356","eL4"
"Dat1_Cell_00357","eL4"
"Dat1_Cell_00358","eL4"
"Dat1_Cell_00360","eL6"
"Dat1_Cell_00361","Astro"
"Dat1_Cell_00362","Astro"
"Dat1_Cell_00364","Astro"
"Dat1_Cell_00365","eL2/3"
"Dat1_Cell_00366","eL5"
"Dat1_Cell_00368","eL5"
"Dat1_Cell_00369","eL2/3"
"Dat1_Cell_00370","Smc"
"Dat1_Cell_00371","Astro"
"Dat1_Cell_00372","PVALB"
"Dat1_Cell_00373","eL4"
"Dat1_Cell_00374","Endo"
"Dat1_Cell_00376","eL4"
"Dat1_Cell_00377","eL5"
"Dat1_Cell_00378","Oligo"
"Dat1_Cell_00379","PVALB"
"Dat1_Cell_00380","VIP"
"Dat1_Cell_00381","eL5"
"Dat1_Cell_00382","eL2/3"
